,Sequence_1,Sequence_10,Sequence_100,Sequence_103,Sequence_11,Sequence_12,Sequence_13,Sequence_14,Sequence_15,Sequence_16,Sequence_18,Sequence_19,Sequence_2,Sequence_20,Sequence_21,Sequence_25,Sequence_26,Sequence_27,Sequence_28,Sequence_29,Sequence_3,Sequence_31,Sequence_32,Sequence_35,Sequence_38,Sequence_4,Sequence_42,Sequence_43,Sequence_44,Sequence_46,Sequence_47,Sequence_48,Sequence_49,Sequence_5,Sequence_50,Sequence_51,Sequence_52,Sequence_53,Sequence_54,Sequence_55,Sequence_57,Sequence_58,Sequence_59,Sequence_6,Sequence_60,Sequence_61,Sequence_62,Sequence_63,Sequence_64,Sequence_65,Sequence_66,Sequence_68,Sequence_69,Sequence_7,Sequence_70,Sequence_71,Sequence_73,Sequence_74,Sequence_76,Sequence_77,Sequence_78,Sequence_79,Sequence_8,Sequence_81,Sequence_82,Sequence_83,Sequence_84,Sequence_85,Sequence_86,Sequence_87,Sequence_88,Sequence_9,Sequence_90,Sequence_92,Sequence_93,Sequence_95,Sequence_96,Sequence_97,Sequence_98,Sequence_99
Sequence_18,36.065574,18.032787,34.42623,22.95082,40.983607,100.0,32.786885,44.262295,36.065574,39.344262,100.0,95.081967,32.786885,44.262295,44.262295,34.42623,32.786885,78.688525,29.508197,22.95082,29.508197,32.786885,31.147541,26.229508,22.95082,37.704918,34.42623,31.147541,31.147541,27.868852,29.508197,37.704918,37.704918,32.786885,36.065574,26.229508,29.508197,21.311475,73.770492,18.032787,22.95082,34.42623,21.311475,68.852459,29.508197,39.344262,39.344262,37.704918,34.42623,27.868852,21.311475,19.672131,27.868852,40.983607,77.04918,19.672131,40.983607,31.147541,40.983607,37.704918,27.868852,39.344262,22.95082,70.491803,37.704918,34.42623,32.786885,36.065574,31.147541,32.786885,37.704918,42.622951,19.672131,37.704918,34.42623,19.672131,40.983607,31.147541,19.672131,32.786885
Sequence_19,34.42623,18.032787,34.42623,22.95082,39.344262,95.081967,31.147541,45.901639,37.704918,40.983607,95.081967,100.0,36.065574,42.622951,42.622951,32.786885,34.42623,81.967213,29.508197,22.95082,29.508197,34.42623,32.786885,26.229508,21.311475,37.704918,34.42623,31.147541,31.147541,27.868852,31.147541,40.983607,40.983607,32.786885,36.065574,26.229508,31.147541,21.311475,75.409836,19.672131,21.311475,36.065574,21.311475,70.491803,29.508197,40.983607,42.622951,36.065574,32.786885,27.868852,21.311475,19.672131,21.311475,39.344262,80.327869,19.672131,40.983607,32.786885,39.344262,37.704918,27.868852,39.344262,22.95082,68.852459,36.065574,36.065574,32.786885,37.704918,32.786885,31.147541,39.344262,44.262295,19.672131,37.704918,32.786885,19.672131,40.983607,32.786885,19.672131,32.786885
Sequence_2,33.823529,30.882353,63.235294,44.117647,34.375,32.786885,39.705882,54.6875,36.764706,53.731343,32.786885,36.065574,100.0,27.941176,32.352941,54.411765,80.882353,37.704918,59.090909,42.647059,59.090909,79.411765,85.294118,27.941176,44.117647,35.9375,26.470588,29.411765,30.882353,38.80597,47.058824,53.731343,39.705882,38.235294,42.647059,27.941176,29.411765,27.941176,29.508197,40.909091,42.647059,38.235294,42.647059,45.901639,41.176471,48.529412,48.529412,50.746269,49.253731,46.268657,36.764706,36.764706,36.764706,34.375,39.344262,45.588235,51.470588,41.176471,59.090909,47.058824,38.235294,50.0,41.176471,29.508197,25.0,47.058824,31.25,49.206349,43.939394,32.352941,35.9375,39.705882,45.588235,42.647059,51.515152,44.117647,33.823529,41.176471,45.588235,61.764706
Sequence_20,30.985915,16.901408,28.985507,25.0,35.9375,44.262295,25.352113,39.0625,36.619718,35.820896,44.262295,42.622951,27.941176,100.0,53.521127,27.941176,32.352941,44.262295,40.909091,25.0,40.909091,26.470588,30.882353,23.943662,18.84058,31.25,29.577465,30.985915,39.43662,22.38806,29.411765,37.313433,36.619718,32.394366,40.84507,32.394366,26.760563,22.535211,45.901639,21.212121,20.289855,28.169014,20.588235,44.262295,22.535211,34.782609,35.211268,31.343284,26.865672,25.373134,30.985915,21.126761,22.535211,34.375,42.622951,19.117647,39.130435,28.169014,34.848485,37.681159,22.535211,35.211268,19.71831,44.262295,32.394366,30.985915,28.125,47.619048,25.757576,24.637681,28.125,35.714286,19.117647,36.231884,33.333333,19.117647,32.394366,28.169014,19.117647,33.333333
Sequence_21,39.43662,25.352113,30.434783,22.058824,34.375,44.262295,33.802817,40.625,38.028169,40.298507,44.262295,42.622951,32.352941,53.521127,100.0,27.941176,32.352941,47.540984,33.333333,27.941176,33.333333,30.882353,32.352941,30.985915,21.73913,34.375,33.802817,46.478873,35.211268,22.38806,30.882353,46.268657,47.887324,39.43662,38.028169,29.577465,36.619718,28.169014,45.901639,22.727273,21.73913,38.028169,22.058824,39.344262,30.985915,46.376812,43.661972,31.343284,26.865672,23.880597,26.760563,28.169014,29.577465,37.5,44.262295,22.058824,49.275362,32.394366,43.939394,43.478261,33.802817,33.802817,23.943662,49.180328,32.394366,32.394366,28.125,49.206349,34.848485,28.985507,32.8125,42.857143,22.058824,44.927536,40.909091,20.588235,40.84507,32.394366,22.058824,30.434783
Sequence_25,47.058824,32.352941,50.0,45.588235,35.9375,34.42623,51.470588,53.125,38.235294,52.238806,34.42623,32.786885,54.411765,27.941176,27.941176,100.0,51.470588,32.786885,50.0,41.176471,50.0,48.529412,50.0,29.411765,38.235294,34.375,22.058824,44.117647,30.882353,41.791045,33.823529,44.776119,32.352941,45.588235,38.235294,25.0,35.294118,27.941176,27.868852,39.393939,39.705882,30.882353,39.705882,44.262295,52.941176,41.176471,38.235294,80.597015,79.104478,58.208955,33.823529,39.705882,51.470588,32.8125,34.42623,44.117647,51.470588,33.823529,51.515152,47.058824,45.588235,42.647059,39.705882,29.508197,22.058824,44.117647,25.0,41.269841,36.363636,47.058824,31.25,38.235294,44.117647,47.058824,48.484848,42.647059,45.588235,33.823529,44.117647,48.529412
Sequence_26,30.882353,29.411765,58.823529,44.117647,37.5,32.786885,38.235294,50.0,39.705882,55.223881,32.786885,34.42623,80.882353,32.352941,32.352941,51.470588,100.0,36.065574,56.060606,39.705882,56.060606,75.0,80.882353,25.0,41.176471,35.9375,22.058824,29.411765,33.823529,40.298507,47.058824,46.268657,36.764706,39.705882,42.647059,33.823529,26.470588,27.941176,29.508197,40.909091,39.705882,32.352941,45.588235,45.901639,38.235294,47.058824,39.705882,47.761194,46.268657,46.268657,29.411765,35.294118,36.764706,39.0625,37.704918,41.176471,47.058824,41.176471,54.545455,42.647059,36.764706,48.529412,38.235294,32.786885,22.058824,44.117647,31.25,47.619048,39.393939,33.823529,35.9375,36.764706,41.176471,39.705882,50.0,38.235294,33.823529,41.176471,41.176471,58.823529
Sequence_27,34.42623,18.032787,32.786885,22.95082,37.704918,78.688525,32.786885,45.901639,36.065574,40.983607,78.688525,81.967213,37.704918,44.262295,47.540984,32.786885,36.065574,100.0,32.786885,22.95082,32.786885,36.065574,36.065574,26.229508,24.590164,37.704918,34.42623,31.147541,31.147541,29.508197,31.147541,42.622951,44.262295,32.786885,34.42623,24.590164,31.147541,21.311475,77.04918,18.032787,24.590164,36.065574,21.311475,72.131148,29.508197,45.901639,44.262295,36.065574,32.786885,29.508197,24.590164,19.672131,24.590164,37.704918,78.688525,18.032787,45.901639,36.065574,39.344262,44.262295,26.229508,40.983607,21.311475,72.131148,34.42623,37.704918,32.786885,37.704918,32.786885,31.147541,37.704918,42.622951,18.032787,40.983607,34.42623,18.032787,40.983607,36.065574,18.032787,31.147541
Sequence_28,34.848485,24.242424,57.575758,40.909091,34.375,29.508197,42.424242,56.25,37.878788,46.969697,29.508197,29.508197,59.090909,40.909091,33.333333,50.0,56.060606,32.786885,100.0,37.878788,100.0,57.575758,57.575758,25.757576,37.878788,34.375,28.787879,28.787879,30.30303,36.363636,37.878788,56.060606,40.909091,39.393939,37.878788,30.30303,28.787879,24.242424,32.786885,37.878788,37.878788,36.363636,36.363636,47.540984,42.424242,46.969697,39.393939,46.969697,45.454545,54.545455,31.818182,36.363636,34.848485,29.6875,32.786885,40.909091,54.545455,40.909091,50.0,50.0,39.393939,53.030303,40.909091,27.868852,24.242424,54.545455,25.0,49.206349,45.454545,31.818182,32.8125,39.393939,40.909091,45.454545,48.484848,40.909091,37.878788,40.909091,40.909091,60.606061
Sequence_29,22.058824,52.941176,41.176471,75.0,34.375,22.95082,25.0,39.0625,22.058824,46.268657,22.95082,22.95082,42.647059,25.0,27.941176,41.176471,39.705882,22.95082,37.878788,100.0,37.878788,38.235294,42.647059,52.941176,61.764706,34.375,16.176471,22.058824,32.352941,70.149254,22.058824,38.80597,27.941176,32.352941,30.882353,20.588235,23.529412,51.470588,21.311475,66.666667,61.764706,32.352941,72.058824,27.868852,33.823529,27.941176,33.823529,41.791045,40.298507,34.328358,60.294118,52.941176,26.470588,32.8125,24.590164,66.176471,36.764706,29.411765,43.939394,30.882353,27.941176,33.823529,61.764706,21.311475,16.176471,30.882353,28.125,44.444444,33.333333,22.058824,31.25,27.941176,66.176471,30.882353,45.454545,64.705882,25.0,29.411765,66.176471,41.176471
Sequence_3,34.848485,24.242424,57.575758,40.909091,34.375,29.508197,42.424242,56.25,37.878788,46.969697,29.508197,29.508197,59.090909,40.909091,33.333333,50.0,56.060606,32.786885,100.0,37.878788,100.0,57.575758,57.575758,25.757576,37.878788,34.375,28.787879,28.787879,30.30303,36.363636,37.878788,56.060606,40.909091,39.393939,37.878788,30.30303,28.787879,24.242424,32.786885,37.878788,37.878788,36.363636,36.363636,47.540984,42.424242,46.969697,39.393939,46.969697,45.454545,54.545455,31.818182,36.363636,34.848485,29.6875,32.786885,40.909091,54.545455,40.909091,50.0,50.0,39.393939,53.030303,40.909091,27.868852,24.242424,54.545455,25.0,49.206349,45.454545,31.818182,32.8125,39.393939,40.909091,45.454545,48.484848,40.909091,37.878788,40.909091,40.909091,60.606061
Sequence_31,33.823529,25.0,64.705882,39.705882,31.25,32.786885,38.235294,53.125,35.294118,50.746269,32.786885,34.42623,79.411765,26.470588,30.882353,48.529412,75.0,36.065574,57.575758,38.235294,57.575758,100.0,85.294118,22.058824,39.705882,34.375,26.470588,32.352941,27.941176,34.328358,47.058824,46.268657,35.294118,41.176471,41.176471,23.529412,26.470588,22.058824,26.229508,37.878788,38.235294,36.764706,36.764706,44.262295,36.764706,45.588235,41.176471,47.761194,46.268657,46.268657,29.411765,33.823529,33.823529,31.25,39.344262,44.117647,48.529412,38.235294,54.545455,44.117647,39.705882,45.588235,41.176471,29.508197,27.941176,44.117647,31.25,47.619048,42.424242,36.764706,32.8125,38.235294,44.117647,41.176471,45.454545,45.588235,33.823529,38.235294,44.117647,63.235294
Sequence_32,33.823529,29.411765,66.176471,45.588235,34.375,31.147541,39.705882,50.0,41.176471,52.238806,31.147541,32.786885,85.294118,30.882353,32.352941,50.0,80.882353,36.065574,57.575758,42.647059,57.575758,85.294118,100.0,29.411765,41.176471,35.9375,25.0,30.882353,32.352941,38.80597,51.470588,47.761194,35.294118,36.764706,42.647059,27.941176,29.411765,26.470588,29.508197,39.393939,41.176471,39.705882,42.647059,44.262295,38.235294,45.588235,44.117647,50.746269,49.253731,46.268657,33.823529,33.823529,33.823529,34.375,36.065574,45.588235,47.058824,38.235294,56.060606,42.647059,36.764706,48.529412,41.176471,29.508197,22.058824,45.588235,31.25,46.031746,43.939394,30.882353,37.5,36.764706,45.588235,39.705882,50.0,42.647059,35.294118,38.235294,45.588235,67.647059
Sequence_35,34.210526,51.219512,27.536232,55.882353,25.0,26.229508,29.87013,28.125,38.028169,29.850746,26.229508,26.229508,27.941176,23.943662,30.985915,29.411765,25.0,26.229508,25.757576,52.941176,25.757576,22.058824,29.411765,100.0,53.623188,25.0,23.376623,38.028169,26.388889,58.208955,23.529412,26.865672,30.136986,26.027397,44.0,25.0,39.726027,53.846154,24.590164,59.090909,52.173913,22.535211,58.823529,29.508197,26.315789,20.289855,27.272727,28.358209,28.358209,19.402985,50.649351,42.857143,28.378378,21.875,29.508197,48.529412,24.637681,18.666667,30.30303,21.73913,24.657534,28.378378,47.887324,26.229508,17.567568,26.027397,23.4375,17.460317,24.242424,24.637681,21.875,27.142857,48.529412,26.086957,24.242424,45.588235,35.616438,18.666667,48.529412,27.536232
Sequence_38,20.289855,49.275362,34.782609,66.176471,26.5625,22.95082,27.536232,43.75,18.84058,38.80597,22.95082,21.311475,44.117647,18.84058,21.73913,38.235294,41.176471,24.590164,37.878788,61.764706,37.878788,39.705882,41.176471,53.623188,100.0,29.6875,17.391304,17.391304,26.086957,62.686567,19.117647,37.313433,21.73913,28.985507,23.188406,18.84058,20.289855,49.275362,19.672131,62.121212,88.405797,27.536232,61.764706,22.95082,30.434783,30.434783,31.884058,38.80597,37.313433,31.343284,56.521739,55.072464,26.086957,25.0,24.590164,64.705882,39.130435,17.391304,45.454545,36.231884,30.434783,30.434783,60.869565,21.311475,18.84058,28.985507,29.6875,34.920635,33.333333,24.637681,25.0,27.536232,64.705882,31.884058,45.454545,64.705882,24.637681,17.391304,64.705882,34.782609
Sequence_4,29.6875,42.1875,37.5,29.6875,75.0,37.704918,28.125,43.75,31.25,48.4375,37.704918,37.704918,35.9375,31.25,34.375,34.375,35.9375,37.704918,34.375,34.375,34.375,34.375,35.9375,25.0,29.6875,100.0,32.8125,26.5625,54.6875,32.8125,31.25,39.0625,37.5,29.6875,42.1875,35.9375,23.4375,43.75,31.147541,26.5625,28.125,34.375,29.6875,32.786885,32.8125,35.9375,43.75,28.125,28.125,29.6875,31.25,26.5625,45.3125,75.0,34.42623,26.5625,39.0625,42.1875,50.0,37.5,32.8125,35.9375,21.875,31.147541,25.0,34.375,64.0625,34.920635,35.9375,32.8125,90.625,45.3125,26.5625,34.375,45.3125,26.5625,25.0,42.1875,26.5625,34.375
Sequence_42,27.631579,29.87013,26.086957,20.588235,34.375,34.42623,28.571429,31.25,32.394366,35.820896,34.42623,34.42623,26.470588,29.577465,33.802817,22.058824,22.058824,34.42623,28.787879,16.176471,28.787879,26.470588,25.0,23.376623,17.391304,32.8125,100.0,25.352113,34.722222,17.910448,45.588235,32.835821,38.356164,21.917808,28.0,32.894737,27.39726,24.675325,27.868852,21.212121,17.391304,30.985915,20.588235,26.229508,21.052632,28.985507,37.662338,22.38806,19.402985,17.910448,18.181818,24.675325,28.378378,39.0625,36.065574,19.117647,34.782609,29.333333,36.363636,33.333333,23.287671,27.027027,14.084507,29.508197,41.891892,35.616438,28.125,31.746032,27.272727,37.681159,35.9375,37.142857,19.117647,31.884058,34.848485,20.588235,31.506849,29.333333,19.117647,27.536232
Sequence_43,70.422535,25.352113,28.985507,20.588235,26.5625,31.147541,49.295775,31.25,53.521127,25.373134,31.147541,31.147541,29.411765,30.985915,46.478873,44.117647,29.411765,31.147541,28.787879,22.058824,28.787879,32.352941,30.882353,38.028169,17.391304,26.5625,25.352113,100.0,28.169014,25.373134,33.823529,25.373134,32.394366,49.295775,49.295775,32.394366,56.338028,32.394366,29.508197,21.212121,18.84058,30.985915,22.058824,39.344262,47.887324,28.985507,26.760563,40.298507,40.298507,38.80597,21.126761,23.943662,50.704225,25.0,32.786885,22.058824,30.434783,32.394366,28.787879,28.985507,42.253521,38.028169,22.535211,31.147541,22.535211,40.84507,21.875,28.571429,28.787879,43.478261,25.0,37.142857,22.058824,30.434783,21.212121,20.588235,53.521127,32.394366,22.058824,26.086957
Sequence_44,29.166667,43.055556,27.536232,27.941176,60.9375,31.147541,26.388889,42.1875,25.352113,43.283582,31.147541,31.147541,30.882353,39.43662,35.211268,30.882353,33.823529,31.147541,30.30303,32.352941,30.30303,27.941176,32.352941,26.388889,26.086957,54.6875,34.722222,28.169014,100.0,28.358209,25.0,37.313433,37.5,26.388889,31.944444,36.111111,26.388889,45.833333,29.508197,25.757576,24.637681,35.211268,29.411765,26.229508,27.777778,36.231884,44.444444,29.850746,28.358209,20.895522,37.5,29.166667,44.444444,60.9375,32.786885,23.529412,39.130435,40.277778,43.939394,37.681159,30.555556,27.777778,23.943662,27.868852,30.555556,31.944444,54.6875,34.920635,36.363636,27.536232,53.125,45.714286,23.529412,34.782609,40.909091,22.058824,22.222222,40.277778,23.529412,26.086957
Sequence_46,25.373134,55.223881,40.298507,74.626866,35.9375,27.868852,26.865672,39.0625,22.38806,46.268657,27.868852,27.868852,38.80597,22.38806,22.38806,41.791045,40.298507,29.508197,36.363636,70.149254,36.363636,34.328358,38.80597,58.208955,62.686567,32.8125,17.910448,25.373134,28.358209,100.0,19.402985,37.313433,23.880597,29.850746,31.343284,22.38806,22.38806,52.238806,24.590164,68.181818,59.701493,28.358209,79.104478,32.786885,34.328358,28.358209,31.343284,37.313433,37.313433,37.313433,56.716418,52.238806,28.358209,31.25,27.868852,56.716418,35.820896,23.880597,43.939394,31.343284,28.358209,31.343284,56.716418,26.229508,13.432836,28.358209,29.6875,26.984127,33.333333,26.865672,32.8125,29.850746,56.716418,29.850746,45.454545,55.223881,23.880597,23.880597,56.716418,38.80597
Sequence_47,27.941176,19.117647,45.588235,19.117647,32.8125,29.508197,30.882353,29.6875,45.588235,29.850746,29.508197,31.147541,47.058824,29.411765,30.882353,33.823529,47.058824,31.147541,37.878788,22.058824,37.878788,47.058824,51.470588,23.529412,19.117647,31.25,45.588235,33.823529,25.0,19.402985,100.0,32.835821,29.411765,33.823529,42.647059,29.411765,26.470588,22.058824,29.508197,22.727273,20.588235,30.882353,19.117647,40.983607,26.470588,30.882353,30.882353,31.343284,32.835821,28.358209,22.058824,20.588235,33.823529,31.25,32.786885,20.588235,32.352941,35.294118,36.363636,27.941176,32.352941,35.294118,26.470588,27.868852,39.705882,32.352941,28.125,26.984127,28.787879,44.117647,31.25,29.411765,20.588235,29.411765,27.272727,20.588235,29.411765,35.294118,20.588235,44.117647
Sequence_48,29.850746,29.850746,49.253731,35.820896,39.0625,37.704918,35.820896,60.9375,29.850746,58.208955,37.704918,40.983607,53.731343,37.313433,46.268657,44.776119,46.268657,42.622951,56.060606,38.80597,56.060606,46.268657,47.761194,26.865672,37.313433,39.0625,32.835821,25.373134,37.313433,37.313433,32.835821,100.0,59.701493,29.850746,31.343284,29.850746,29.850746,28.358209,36.065574,36.363636,34.328358,40.298507,37.313433,36.065574,38.80597,58.208955,52.238806,47.761194,44.776119,37.313433,31.343284,40.298507,31.343284,39.0625,40.983607,43.283582,67.164179,31.343284,54.545455,62.686567,32.835821,41.791045,38.80597,34.42623,25.373134,38.80597,32.8125,58.730159,43.939394,23.880597,39.0625,46.268657,43.283582,58.208955,53.030303,41.791045,29.850746,31.343284,43.283582,46.268657
